WISE Name,Catalog,GLong,GLat,RA_1,Dec_1,Radius_1,HII Region,Membership,VLSR<br>(km/s),Author,VLSR (Mol.)<br>(km/s),Mol. Author,Molecule,KDAR,Dist.<br>(kpc),Err Dist.<br>(kpc),Dist. Method,Dist. Author,RGal<br>(kpc),z<br>(pc),GLIMPSE 8um<br>(Jy),WISE 12um<br>(Jy),WISE 22um<br>(Jy),MIPSGAL 24um<br>(Jy),Hi-Gal 70um<br>(Jy),Hi-Gal 160um<br>(Jy),HRDS 3cm<br>(Jy),MAGPIS 20cm<br>(Jy),VGPS 21cm<br>(Jy),Other Names,# tileid,name,iauName,npix,nnested,nnested_ext,nested_ext,morph_type,bbox_x,bbox_y,bbox_w,bbox_h,bbox_rot_x,bbox_rot_y,bbox_rot_w,bbox_rot_h,bbox_rot_theta,x0,y0,l,b,ra_2,dec_2,x0_w,y0_w,l_w,b_w,radius_2,radius_wcs,x0_mincircle,y0_mincircle,radius_mincircle,x0_mincircle_wcs,y0_mincircle_wcs,radius_mincircle_wcs,minSize_wcs,maxSize_wcs,S,Smin,Smax,Smean,Smedian,Sstddev,Sbkg,Sbkg_interp,Sbkg_fit,Serr_bkg,Serr_noise,Snoise,Stot,Stot_err,flux,fluxErr,Stot_nested,Stot_err_nested,Stot_noPS,Stot_err_noPS,flux_noPS,flux_err_noPS,is_flux_reliable,border,classname,classid,objname,GroupID,GroupSize,VLSR (Mean)<br>(km/s),Dist<br>(kpc),Dist_err<br>(kpc),log(N_{Ly})
G358.530+00.055,K,358.53,0.056,265.46395,-30.158421,42.5,,,-212.6,Anderson et al. (2011),,,,,8.34,,Nuclear Disk,,0.218052,8.30768,0.0,0.0,0.0,0.0,0.0,0.0,424.31,0.0,0.0,FA050,G357.5+000,S140,G358.533+00.058,971,0,0,NONE,0,1266.5,3889.0,55,34,1267.4,3889.3,31.4,53.3,82.9,1270.2,3888.3,358.53289,0.05806,265.46369,-30.15488,1273.2,3888.3,358.53162,0.05802,32.3,0.808,1265.8,3882.3,27.4,358.53471,0.05553,0.684,0.785,1.334,4.556788840680383,0.0015082788886502,0.0089379847049713,0.0046928824311847,0.0047627086751163,0.0015382396891537,1.300258965848479,2.333345597589032,2.392779523737218,0.0702290894727464,0.025022381221732,0.7797192409499234,3.256529874831904,0.0745536355262217,0.1010400021577881,0.0023131676305684,0.0,0.0,3.256529874831904,0.0745536355262217,0.1010400021577881,0.0023131676305684,1,0,HII,6,G358.530+00.055,,,-212.6,8.15,3.27,46.81326416292431
G358.397-00.861,K,358.397,-0.86,266.28786,-30.752583,261.4,,,5.3,Anderson et al. (2011),,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,326.504,0.0,0.0,FA049,G357.5+000,S30075,G358.386-00.842,15739,1,0,NONE,0,1615.5,1723.0,171,166,1626.3,1731.8,128.7,161.9,45.0,1623.9,1729.3,358.38557,-0.84157,266.26225,-30.75251,1631.6,1737.8,358.38239,-0.83805,119.2,2.98,1616.9,1721.4,88.5,358.38851,-0.84487,2.212,3.218,4.048,7.28724741022728,-0.0002229126112069,0.0019031383562833,0.0004514509065219,0.0003930779057554,0.0003626566620309,-4.087355840901727,-2.084173178574785,1.1905263252996825,0.1300874744713319,0.0160653489480398,2.015481103892061,11.374603251129008,0.1310757279253169,0.3529185916334896,0.0040668725119837,0.0395249996372058,0.0041040060138545,11.335078251491804,0.1311399607919472,0.3516922537210096,0.0040688654582278,1,0,HII,6,G358.397-00.861,,,5.3,2.78,0.22,46.42070799322737
G357.966-00.168,K,357.966,-0.168,265.33862,-30.755493,42.5,,,-1.3,Anderson et al. (2011),-5.1,Bronfman; Nyman; & May (1996),CS,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,230.823,0.0,0.0,FA046,G357.5+000,S30067,G357.966-00.168,491,0,0,NONE,0,2630.5,3346.5,25,25,2629.5,3346.0,24.0,23.0,90.0,2629.7,3345.5,357.9664,-0.16813,265.33922,-30.75535,2630.0,3345.9,357.96628,-0.16796,17.7,0.442,2629.6,3345.7,13.0,357.96642,-0.16803,0.324,0.575,0.6,1.6383766803337494,0.0001472213480155,0.0100549980998039,0.0033368160495595,0.0022462597116827,0.0029204014518846,0.0279590473761345,0.1044585698746188,0.1029073338173423,0.0076783764224916,0.0033067019520399,0.0732716206973467,1.6104176329576148,0.0083601281261174,0.0499662546831008,0.0002593887961632,0.0,0.0,1.6104176329576148,0.0083601281261174,0.0499662546831008,0.0002593887961632,1,0,HII,6,G357.966-00.168,,,-1.3,12.41,0.25,46.87267595890269
G357.484-00.037,K,357.484,-0.036,264.91034,-31.09417,42.5,,,15,Anderson et al. (2011),,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,59.1587,0.0,0.0,FA045,G357.5+000,S2370,G357.484-00.034,507,0,0,NONE,0,3787.0,3669.5,22,31,3787.4,3668.2,29.1,20.8,79.4,3786.9,3668.1,357.48423,-0.03371,264.90822,-31.09277,3786.7,3664.3,357.48429,-0.03529,19.0,0.475,3785.5,3669.0,15.4,357.48479,-0.03333,0.385,0.521,0.728,1.487425077102671,5.005059574614279e-05,0.0180584844201803,0.0014108046157743,0.000861589476699,0.0013878142344849,-0.0030472419110992,0.0476252897387424,0.0628827061419226,0.0029313506685142,0.0013127839270829,0.0295595099938762,1.49047231901377,0.003211887043625,0.0462447243285457,9.965487383566362e-05,0.0,0.0,1.49047231901377,0.003211887043625,0.0462447243285457,9.965487383566362e-05,1,0,HII,6,G357.484-00.037,,,15.0,12.38,0.25,46.836959082888605
G356.560-00.086,K,356.56,-0.086,264.38107,-31.902033,102.7,,,4.9,Anderson et al. (2011),,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,440.176,0.0,0.0,FA043,G357.5+000,S30007,G356.586-00.092,22266,2,0,NONE,0,5944.5,3525.5,177,179,5945.4,3529.7,189.4,150.9,33.4,5943.1,3527.6,356.58577,-0.09223,264.40354,-31.88362,5978.4,3540.7,356.57103,-0.08678,125.9,3.147,5949.7,3523.1,95.2,356.58301,-0.09414,2.38,3.772,4.736,13.289303735629604,-0.0001004264486255,0.0045128804631531,0.000267057124199,0.0002106773390551,0.0002184235279711,-1.5085520223874482,-1.4496367680494155,-0.9991219121270188,0.0300865129767684,0.0062352586865354,0.930412589915118,14.797855758017052,0.0307258313799524,0.4591314789635884,0.0009533270653905,1.8236608269508,0.0656917495917104,12.974194931066252,0.072522290907067,0.4025489506366545,0.002250141319559,1,0,HII,6,G356.560-00.086,,,4.9,12.34,0.25,47.77390461687914
G356.472+00.001,K,356.472,0.002,264.23819,-31.929194,27.0,,,4.6,Anderson et al. (2011),,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,360.244,0.0,0.0,FA042,G357.5+000,S5842,G356.472+00.002,389,0,0,NONE,0,6216.0,3755.5,20,25,6215.5,3755.0,24.0,19.0,90.0,6216.2,3754.8,356.47194,0.0024,264.23752,-31.92888,6216.1,3754.3,356.47197,0.00219,16.0,0.4,6216.5,3755.0,13.2,356.47182,0.0025,0.33,0.475,0.6,2.070676590083167,0.0013746742624789,0.0129910688847303,0.0053230760670518,0.0046881716698408,0.0030182347501804,0.2504923461179714,0.3105081812563548,0.396283160293619,0.0145337689993209,0.0041899307857029,0.0826383523293744,1.820184243965196,0.0151256722599229,0.0564746607605768,0.0004693026063086,0.0,0.0,1.820184243965196,0.0151256722599229,0.0564746607605768,0.0004693026063086,1,0,HII,6,G356.472+00.001,,,4.6,12.33,0.24,46.92023538263685
G356.232+00.049,K,356.232,0.05,264.03823,-32.105687,64.7,,,9.3,Anderson et al. (2011),,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,223.71,0.0,0.0,FA040,G357.5+000,S6594,G356.236+00.058,9900,1,0,NONE,0,6777.5,3881.0,125,136,6786.6,3891.5,98.5,155.7,26.9,6783.3,3889.0,356.23559,0.05833,264.03193,-32.098,6784.2,3891.1,356.23525,0.0592,92.4,2.309,6763.0,3879.5,78.4,356.24407,0.05438,1.959,2.462,3.894,5.679585908463345,-6.607091199839488e-05,0.0033732391893863,0.0004455759912451,0.0003174107696395,0.0003805076795413,-0.43170819113584,0.6590676590757311,0.7932904389428626,0.0254099504342499,0.0044528891481055,0.4430568761193441,6.111294099599185,0.0257971665660467,0.1896144647044742,0.000800405912331,0.0199324751916719,0.0017251840869472,6.091361624407513,0.0258547880086109,0.1889960219406164,0.0008021937266318,1,0,HII,6,G356.232+00.049,,,9.3,12.93,0.27,47.48610531145895
G355.663+00.377,K,355.663,0.378,263.34756,-32.40626,42.5,,,-2.6,Anderson et al. (2011),,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,156.307,0.0,0.0,FA036,G354.5+000,S500058,G355.663+00.378,1363,0,0,NONE,0,960.0,4657.0,44,42,958.9,4655.9,38.3,44.9,80.5,958.2,4655.8,355.66293,0.37785,263.3476,-32.40635,959.0,4655.6,355.66261,0.37776,30.4,0.76,958.0,4658.4,24.4,355.66303,0.37894,0.611,0.958,1.122,4.290149523404125,-6.420674617402256e-05,0.0125982919707894,0.002947000769501,0.0019519365741871,0.0026958778243966,-0.2269962800026405,-0.234006861321188,-0.1508725931296292,0.004443365649086,0.0017826630724643,0.0658138347127089,4.517145803406765,0.0047876284234896,0.1401529969832758,0.0001485452321437,0.0,0.0,4.517145803406765,0.0047876284234896,0.1401529969832758,0.0001485452321437,1,0,HII,6,G355.663+00.377,,,-2.6,11.04,1.47,47.74359669287806
G354.979-00.527,K,354.979,-0.527,263.81085,-33.471514,156.6,,,0.3,Anderson et al. (2011),,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,244.497,0.0,0.0,FA031,G354.5+000,S500218,G354.980-00.529,8636,0,0,NONE,0,2598.0,2482.5,122,103,2596.8,2475.9,90.6,118.4,39.6,2596.3,2479.4,354.9803,-0.52902,263.81417,-33.47175,2592.3,2486.3,354.98199,-0.52613,79.8,1.996,2597.5,2477.0,62.1,354.97982,-0.53001,1.552,2.265,2.959,6.897375857021123,-0.0001291254156967,0.0032613347284495,0.0007433607684206,0.000431747699622,0.0007783738615661,-0.6248679857846582,-1.195376677598055,-1.0878105557441644,0.0237953459945232,0.0025938894587543,0.2410503581397718,7.522243842805781,0.0239363061795948,0.2333918506268079,0.0007426691972726,0.0,0.0,7.522243842805781,0.0239363061795948,0.2333918506268079,0.0007426691972726,1,0,HII,6,G354.979-00.527,,,0.3,11.01,1.74,47.85537274276047
G354.727+00.302,K,354.727,0.303,262.81373,-33.231153,55.9,,,95.3,Anderson et al. (2011),,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1074.34,0.0,0.0,FA029,G354.5+000,S30005,G354.725+00.300,217,0,0,NONE,0,3210.5,4469.5,17,17,3209.5,4469.0,16.0,15.0,90.0,3209.8,4469.1,354.72467,0.30004,262.81506,-33.23465,3209.6,4469.3,354.72475,0.30013,12.0,0.301,3210.0,4469.2,8.5,354.7246,0.30009,0.211,0.375,0.4,6.320785277232062,0.0007281732396222,0.1323300302028656,0.0172716685278165,0.0099786864593625,0.0168461349870032,0.0222507945331017,0.2983428039388838,0.34884465433841,0.0054972728686006,0.0014812997183796,0.0218209074440251,6.29853448269896,0.0056933520747907,0.1954239519315499,0.0001766470224541,0.0,0.0,6.29853448269896,0.0056933520747907,0.1954239519315499,0.0001766470224541,1,0,HII,6,G354.727+00.302,,,95.3,13.40,2.71,47.52465627281257
