iauName,WISE Name,GLong,GLat,Radius,VLSR(km/s),Dist.<br>(kpc),Err Dist.<br>(kpc),Dist. Method,Dist. Author,WISE 12um<br>(Jy),flux,fluxErr,flux_noPS,flux_err_noPS,distance_kpc,distance_err_kpc,radius_wcs,physical_radius_pc,ne,N_Ly,Spectral Type
G001.328+00.151,G001.330+00.145,1.331,0.146,78.6,-20.1,,,,,0.0,0.0521538284786749,0.0014746611154935,0.0521538284786749,0.0014746611154935,3.72,0.25,0.532,0.5756788597192932,31.52,46.84,B0
G001.331+00.085,G001.330+00.088,1.33,0.088,42.5,-12.0,,,,,0.0,0.1675060131138225,0.0042933424662813,0.1675060131138225,0.0042933424662813,3.72,0.25,0.548,0.592992509635663,54.37,47.35,B0
G001.324+00.102,G001.321+00.101,1.322,0.102,58.7,-12.7,,,,,0.0,0.3690224428353169,0.0053724269642917,0.3690224428353169,0.0053724269642917,3.72,0.25,1.167,1.262814340775216,25.93,47.69,O9.5
G002.604+00.141,G002.614+00.133,2.614,0.133,60.0,102.4,,,,,0.0,0.437956316838101,0.002379850753145,0.437956316838101,0.002379850753145,8.14,2.17,1.406,3.329165878845175,14.42,48.44,O7.5
G002.528-00.035,G002.521-00.024,2.522,-0.023,171.1,8.3,,,,,0.0,0.7933802664951533,0.0044470695205747,0.7912654563221239,0.0044511344292869,2.81,0.22,6.539,5.3449465493418655,3.3,47.78,O9.5
G001.487-00.200,G001.488-00.199,1.488,-0.199,42.5,-2.2,,,,,0.0,0.0517241903500257,0.0007896411740391,0.0517241903500257,0.0007896411740391,12.57,0.28,0.572,2.091495891207912,15.38,47.89,O9
G003.265-00.053,G003.266-00.061,3.267,-0.061,392.7,7.1,,,,,0.0,9.99137343288924,0.0065377804059257,9.85583793507606,0.007238956511504,12.56,0.25,12.531,45.78266598792816,2.08,50.18,O4
G002.011-00.680,G002.009-00.680,2.009,-0.68,42.5,18.2,,,,,0.0,0.1608593232904489,0.0002452734391059,0.1608593232904489,0.0002452734391059,2.84,0.22,1.363,1.1260039269871285,15.48,47.1,B0
G003.439-00.349,G003.439-00.349,3.439,-0.349,42.5,-21.6,,,,,0.0,0.076048892312866,7.550093483082098e-05,0.076048892312866,7.550093483082098e-05,4.71,0.24,0.345,0.4726783506654061,65.19,47.21,B0
G002.417-00.610,G002.422-00.611,2.423,-0.611,88.9,7.8,,,,,0.0,0.0449881592275838,0.0007251221464276,0.0449881592275838,0.0007251221464276,2.8,0.22,0.976,0.794938549923642,13.67,46.53,B0
G003.442-00.643,G003.442-00.650,3.443,-0.649,120.6,0.1,,,,,0.0,0.1407218229324725,0.0002751945507715,0.1402432440675608,0.0002762829888681,1.54,0.1,2.511,1.1248461930041451,7.89,46.51,B0
G003.649-00.119,G003.650-00.122,3.65,-0.121,72.5,4.9,,,,,0.0,0.3850607002613932,0.0001920131992818,0.3850607002613932,0.0001920131992818,2.93,0.17,1.395,1.1889608028507015,22.8,47.5,O9.5
G003.349-00.079,G003.349-00.078,3.35,-0.077,72.1,8.3,,,,,0.0,0.6396068412949487,0.0046505448243254,0.6396068412949487,0.0046505448243254,12.56,0.25,0.714,2.608636462802705,38.77,48.99,O6
G002.273+00.236,G002.272+00.237,2.272,0.237,284.2,4.9,,,,,0.0,3.586858994915254,0.0200656855868123,3.5765026536171827,0.0200721507184898,2.81,0.22,5.579,4.56024725474511,8.89,48.43,O7.5
G004.435+00.069,G004.409+00.110,4.409,0.111,235.5,4.1,,,,,0.0,5.648423121252287,0.0047144677363187,5.645553336289524,0.0047152435217517,2.94,0.17,6.51,5.567420551232637,8.65,48.67,O6.5
G004.350+00.155,G004.343+00.115,4.343,0.116,113.6,7.0,,,,,0.0,1.2741803765142947,0.0042386588298371,1.2741803765142947,0.0042386588298371,2.94,0.16,4.825,4.126390807941241,6.44,48.02,O9
G003.930-00.117,G003.928-00.116,3.928,-0.116,42.5,32.1,,,,,0.0,0.1489482445402355,0.0002615417635259,0.1489482445402355,0.0002615417635259,12.6,0.33,0.86,3.15206166824231,14.14,48.36,O7.5
G003.665-00.099,G003.664-00.098,3.665,-0.097,32.0,6.2,,,,,0.0,0.0926881481959639,0.0005223074292995,0.0926881481959639,0.0005223074292995,12.57,0.24,0.532,1.9452374372772887,22.91,48.15,O8.5
G004.565-00.118,G004.557-00.124,4.558,-0.123,157.1,10.2,,,,,0.0,0.7400739999255685,0.0076474195560663,0.7400739999255685,0.0076474195560663,2.94,0.16,2.784,2.380906115918842,11.2,47.79,O9.5
G005.191-00.285,G005.189-00.285,5.189,-0.285,132.3,1.9,,,,,0.0,0.7983776961023366,0.0051438156695574,0.7983776961023366,0.0051438156695574,2.94,0.16,2.688,2.2988059050250893,12.26,47.82,O9.5
G005.064+00.281,G005.068+00.275,5.069,0.275,274.7,12.0,,,,,0.0,1.3767596350872615,0.0144841691634922,1.3714493659836866,0.0144843712169825,2.94,0.16,9.155,7.829452403461565,2.56,48.06,O9
